text	labels
these refugees adult males are cowards for not defending their homeland	0
They are all mentally jerking off to the refugee crisis, always showing little kids and exhausted women. How come all we see in Europe are angry young male economic migrants.	0
You only see what you want to see. Pretty much like ostrich.	1
Delfina Jones are you one of the Donald Trump's Sidechicks?	1
Europeans who immigrated during WW2 weren't bringing Islam with them and their stupid demands to accommodate their medieval views. They weren't burning embassies and rioting when someone drew a picture of a pedophile prophet.	0
Delfina Jones a Merry Christmas to all British racists	0
Peter Hallam, Islam is not a race. I don't care about peoples sexuality, nationality or race, but religion is a choice. Being a moderate Muslim is like being a moderate nazi or moderate kkk member. You might be the most peaceful human being but your views are still stupid and incompatible with western values and democracy.	0
Delfina Jones because anything that isn't western means it's immediately bad. Wow, just...let me bash my head over the sheer amount of stupidity in your comments...	0
Sagal Aden I've never said that. All said was that Muslim values are not compatible with western. If you beg to differ than name one positive thing that Islam introduced in Europe.	1
Sagal Aden I don't wanna go anywhere but you must admit that it should be rather troubling if you can't even name one thing. Hiding behind sarcasm won't work. No need for sources either, you could mention something you think was positive for the west. But you can't. I, however, can list many negative examples your stupid cult caused in Europe.	0
Esin Ayse Kaya Islam is not compatible with western beliefs. Unless it reforms there is no place for it in Europe. We spent decades fighting for tolerance for gay people and sexual freedom for women. We don't need some cult trying to push us back.	1
Sorry if the west doesn't ignore the danger of Islam as you wish. Your insults mean nothing. Yes of course, everyone is Aware that not every Muslim is a danger to society, but to ignore the portion who do wish harm to the west would be even more ignorant.	1
You could be made a refugee at some point of your life, have some compassionate lady or its best to keep silent.	1
Islam gave women rights just like Saudi Arabia allowed them to vote to give them the illusion of rights too. Women in Muslim countries have no rights like women do in the west. I wonder how your parents and brothers would have reacted if you decided to announce to them you were becoming an atheist, putting a mini skirt on and going to spend a weekend at your boyfriend's house. I have read Quran and its misogyny is transparent. Also women rights are non existent in Muslim countries because they have religious laws, not secular laws. There is a lot of ex Muslim women who were raised in Islam and say the same thing. Also, you have completely ignored my question again.	1
Yet each one of these countries implements religious laws, each is a backward hole where women are treated like cattle, Turkey is the most normal one because funnily enough is also the least religious. The only times when Islamic countries were advancing was when religion was pushed aside, such as during Sha in Iran.	1
