	text	labels	split
0	Can we shut up about refugees already?	0	test
1	Why should we? It's the biggest humanitarian crisis since WWII.	0	test
2	these refugees adult males are cowards for not defending their homeland	1	test
4	They are all mentally jerking off to the refugee crisis, always showing little kids and exhausted women. How come all we see in Europe are angry young male economic migrants.	1	test
5	You only see what you want to see. Pretty much like ostrich.	1	test
6	You should Said that your parents and your Europeans in WWII when their refugees FLED TO NORTH AFRICA .	0	test
7	Delfina Jones are you one of the Donald Trump's Sidechicks?	1	test
8	Europeans who immigrated during WW2 weren't bringing Islam with them and their stupid demands to accommodate their medieval views. They weren't burning embassies and rioting when someone drew a picture of a pedophile prophet.	1	test
9	Define, what demands? Where are these demands which are to accommodate their views? I could have missed an article or two.	0	test
10	Delfina Jones a Merry Christmas to all British racists	1	test
11	Peter Hallam How does speaking the truth make Delfina racist? put the race card away and allow people to have their say.	0	test
13	Peter Hallam, Islam is not a race. I don't care about peoples sexuality, nationality or race, but religion is a choice. Being a moderate Muslim is like being a moderate nazi or moderate kkk member. You might be the most peaceful human being but your views are still stupid and incompatible with western values and democracy.	1	test
14	Esin Ayse Kaya Here take a look, a very real issue on the streets of Britain. https://www.youtube.com/watch?v=tYJPaZYXyD0 Do you wish to deny this is real?	0	test
15	Stacey's mini documentary has really been a shocking eye opener to many who have seen it	0	test
16	And this is happening all over Europe. But of course if you are a concerned citizen and even DARE to voice your concerns, you are automatically branded a racist.	0	test
17	Oh okay thank you. I will look at it. I'm not denying anything. I just want to keep an open mind and if you say something I will consider it.	0	test
18	Delfina Jones because anything that isn't western means it's immediately bad. Wow, just...let me bash my head over the sheer amount of stupidity in your comments...	1	test
19	Sagal Aden I've never said that. All said was that Muslim values are not compatible with western. If you beg to differ than name one positive thing that Islam introduced in Europe.	1	test
20	David Olend Thank you David, that was certainly food for thought!	0	test
21	Esin Ayse Kaya What is your take and opinion of the video that I posted for you? A reason or not for Europeans to be concerned?	0	test
23	Sagal Aden I don't wanna go anywhere but you must admit that it should be rather troubling if you can't even name one thing. Hiding behind sarcasm won't work. No need for sources either, you could mention something you think was positive for the west. But you can't. I, however, can list many negative examples your stupid cult caused in Europe.	1	test
24	Delfina Jones 1. Islam is the MAIN reason why science is in europe in the first place exists. Most of the scientific books from the past were somehow related to Europe and Asia and then the Roman empire got destroyed, Greek texts were lost (Guess who? religion abused through corrupt christians priests). and what did islam do? simple: It was narrated that Anas bin Mâlik said: The Messenger of Allah said “Seeking knowledge is a duty upon every Muslim”. AND: It was narrated that Abu Hurairah said: “The Messenger of Allah said: “…Whoever follows a path in pursuit of knowledge, Allah will make easy for him a path to Paradise... This resulted in muslims translating the books they could find about any knowledge to be translated. They see it as a way to enter paradise and to teach the future generations would increase your likelyhood. Europe was pretty much crumbling until the renaissance came and where did they go to read about how to retrieve the knowledge of the greek and roman texts? well, from Istanbul of course, the city that belongs to the muslims. I recommend you watching Crash course if you'd like.	0	test
25	It's sad that those people shown in the video hold such extreme beliefs. They were too sheltered and they have a false belief that their views are the only views. How they acted was inappropriate. That being said, there is another side to this religion. I have seen that side as well. To ignore that side is ignorance itself. It's where Islam converges with Western beliefs. The result from that is actually very calm. Anyone who is like those in the video are in the wrong, I agree. We don't need those people. It causes chaos. But anyone who only focuses on that side is just as wrong. Muslim values can be compatible with Western values. You just have never seen it, or perhaps don't want to, but I have.	0	test
